NUMBER_1,X_WORLD_1,Y_WORLD_1,XWIN_WORLD_1,YWIN_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO (V),MAGERR_ISO (V),FLUX_AUTO_1,FLUXERR_AUTO_1,FLUX_MAX_1,ISOAREA_IMAGE_1,CXX_IMAGE_1,CYY_IMAGE_1,CXY_IMAGE_1,A_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,XWIN_WORLD_2,YWIN_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO (B),MAGERR_ISO (B),FLUX_AUTO_2,FLUXERR_AUTO_2,FLUX_MAX_2,ISOAREA_IMAGE_2,CXX_IMAGE_2,CYY_IMAGE_2,CXY_IMAGE_2,A_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation
1968,91.8223999,23.96598474,91.82236892,23.96597029,2341.9717,817.5581,7459.5254,150.65707,16.718222,0.02193351,7838.686,197.07915,628.4447,53,0.40625894,0.38976303,0.049421623,1.6396527,-54.228973,0,1.0677425,0.063444614,1109,91.82239259,23.96596956,91.82236851,23.96597015,2342.0676,817.51636,6877.3374,130.85716,16.806448,0.020663647,7678.4614,187.08774,628.4447,39,0.49795187,0.5016212,0.025893435,1.433391,-40.967197,0,1.0265148,0.025829852,0.059684473
1969,91.82350807,24.08151002,91.82350788,24.08151229,1611.8292,820.8215,4365.7964,126.19699,17.29984,0.031391736,4729.591,161.27704,382.74243,36,0.49996594,0.465676,0.053048577,1.4886657,-61.43906,0,1.0677003,0.06340754,1124,91.82350084,24.08150816,91.82350788,24.08151229,1611.8412,820.7798,3871.795,104.715614,17.43022,0.02937169,4760.7334,161.37357,382.74243,27,0.68298703,0.63480794,0.103168674,1.2888851,-57.516132,0,1.0904833,0.08297539,0.024692274
1970,91.82508201,24.3304156,91.82508731,24.33041615,38.712074,823.12756,2173.077,100.273705,18.057312,0.050112005,2643.5305,166.1396,181.59671,30,0.6133889,0.5427075,-0.046970602,1.3663859,73.1972,0,1.0763105,0.07090008,1134,91.82508284,24.33041699,91.82508739,24.33041611,38.70329,823.1323,1717.5038,80.29039,18.312756,0.05076866,2737.5796,174.13692,181.59671,18,0.9348338,0.80973256,-0.12343653,1.1290898,67.69188,0,1.1063678,0.09614146,0.005684857
1971,91.82399308,24.02210126,91.82399392,24.02211236,1987.2776,825.23413,2120.403,98.688484,18.083954,0.050544962,2199.4844,146.21347,188.33835,24,0.59716976,0.64930815,0.07285924,1.3148309,-27.206167,0,1.0746565,0.06947005,1136,91.82399932,24.02211964,91.82399367,24.02211244,1987.1614,825.26965,1789.6661,80.738525,18.26807,0.048993517,2300.389,127.37658,188.33835,18,0.8180796,0.93658775,0.14322844,1.1291084,-25.197714,0,1.1122053,0.10088539,0.069263849
1975,91.80884483,24.14909909,91.8088083,24.14908376,1185.0287,734.42566,1870537.2,1469.6248,10.720084,8.53E-04,1809438.5,1375.8579,106618.836,1008,0.12037837,0.12263679,0.007406034,2.9156103,-36.52065,4,1.0323852,0.03136933,832,91.80884721,24.14909297,91.80880818,24.14908373,1185.0673,734.4395,1855437,1428.24,10.728884,8.36E-04,1795718.5,1365.7747,106618.836,684,0.14140277,0.15227747,0.01021388,2.678545,-21.60259,4,1.0521593,0.0495736,0.023372073
1978,91.82423421,24.0923452,91.82421107,24.09234116,1543.3335,824.7167,1851.5828,95.95766,18.231142,0.056281585,2432.6445,187.11092,157.96695,23,0.569038,0.56999135,-0.07230054,1.3692706,44.622265,3,1.0656304,0.061588407,1144,91.82419535,24.09238469,91.82421764,24.09237549,1543.0848,824.4914,1265.8877,68.42008,18.644012,0.058697317,2757.672,175.69635,157.96695,13,0.9910292,1.1522453,0.14872505,1.0195764,-21.34608,3,1.1081566,0.09760046,0.191130505
1979,91.82543574,24.24111787,91.82543061,24.24111845,603.0665,827.5968,1994.7473,96.70075,18.15028,0.05264678,2257.6294,137.14693,194.9896,25,0.67255664,0.63624644,-0.19443914,1.3417063,50.288876,0,1.1645066,0.14126718,1150,91.82542327,24.24112441,91.82543056,24.2411185,603.0255,827.5247,1670.7603,76.64433,18.342714,0.049819086,2251.3438,151.67923,194.9896,16,0.8675955,1.1142552,-0.036525533,1.0744302,4.211593,0,1.1348343,0.11881411,0.047235198
1980,91.82493019,24.13979828,91.8249348,24.13981051,1243.4153,827.4407,2610.0107,107.436714,17.858395,0.044703368,2798.4224,145.56491,249.60547,29,0.55833745,0.5597489,-0.013206292,1.3454643,41.949883,0,1.0119501,0.011808991,1149,91.82493879,24.13980797,91.82493477,24.13981055,1243.3539,827.49005,2003.1063,80.43273,18.14574,0.043607242,2810.1172,136.28497,249.60547,17,0.88140404,0.9970436,0.04982022,1.0682722,-11.653751,0,1.0694367,0.06492829,0.044895854
1982,91.82683465,24.26172358,91.82684502,24.26177973,472.8038,835.09576,1185.9857,63.843216,18.714802,0.05846085,1062.2745,85.835106,501.84128,5,1.2208678,2.1029108,0.12549232,0.9066863,-4.048695,0,1.3162112,0.24024355,1179,91.82683055,24.26171621,91.82683374,24.26179272,472.8505,835.0723,1203.6934,61.894585,18.69871,0.055842727,1040.3073,82.58479,501.84128,5,1.3254468,2.1439137,-0.10338159,0.86966544,3.5994897,0,1.274339,0.2152794,0.029754538
1984,91.82367384,24.10958053,91.82367729,24.10958784,1434.421,821.0156,5243.7344,139.39464,17.100899,0.02886923,5689.002,176.55959,416.9854,50,0.43251145,0.3522781,0.013448092,1.686174,-85.242485,3,1.1096396,0.0988065,1119,91.82366541,24.10958727,91.82367702,24.10958761,1434.3787,820.9668,4687.7925,118.93645,17.222578,0.027553476,5865.268,193.37068,416.9854,36,0.5533859,0.4724927,0.06054566,1.4705591,-71.59323,0,1.1038604,0.094088316,0.036844453
1985,91.82641937,24.33259063,91.82640967,24.33260396,24.932583,830.7697,1373.25,86.115715,18.555626,0.068102434,1935.6598,196.09789,121.39427,19,0.6787609,0.6960259,-0.002096458,1.2138412,3.4617178,0,1.0127316,0.012571573,1156,91.8263983,24.33261256,91.82640934,24.33260389,24.794552,830.6477,1036.742,66.72452,18.860823,0.06989476,1845.0406,157.16896,121.39427,13,1.053914,1.12713,0.18462001,1.0044202,-34.183933,0,1.095613,0.08726889,0.104918294
1987,91.8243128,24.2135733,91.824294,24.21354531,777.1755,821.87445,5712.1875,140.13063,17.007994,0.02664161,6200.5903,178.73892,468.07034,46,0.46088263,0.38758996,-0.007702195,1.6066705,87.00046,0,1.0909806,0.083393455,1121,91.82429902,24.21354664,91.8242938,24.21354494,777.3443,821.7957,5085.5215,116.15812,17.134161,0.024805266,6055.908,172.34013,468.07034,31,0.64660746,0.54496884,-0.09158638,1.3770128,68.98901,0,1.1222409,0.1089257,0.106085458
1988,91.82427046,24.09319797,91.82429575,24.0931984,1537.9431,824.90265,5134.7114,136.13841,17.123709,0.0287935,5664.902,190.10774,356.72476,47,0.4283831,0.32938087,-0.080934234,1.7818974,70.36702,3,1.1857574,0.15665716,1129,91.82427046,24.09319797,91.82429217,24.09319439,1537.9431,824.90265,4807.408,122.69339,17.195223,0.027716603,6024.664,207.53032,356.72476,39,0.4338254,0.42429942,-0.027564662,1.5532739,54.53224,2,1.0345837,0.033427656,0
1992,91.82496648,24.30454236,91.82496036,24.30453583,202.23488,823.16644,9831.131,162.42776,16.418491,0.017942652,10177.532,188.14647,950.4673,56,0.4019095,0.4231807,0.018922163,1.5844889,-20.82762,0,1.0351211,0.033929408,1126,91.82496233,24.30454082,91.82496033,24.30453584,202.24475,823.1426,9119.104,141.03479,16.50012,0.016795926,10080.654,180.76219,950.4673,40,0.52261615,0.51425356,0.023367817,1.4057688,-54.84535,0,1.02423,0.023656845,0.014703689
1994,91.82579091,24.12593149,91.82578156,24.12593795,1331.0312,832.7826,1974.4434,100.59277,18.161388,0.055328887,2532.591,186.67543,171.67686,21,0.68361616,0.7269547,-0.01512779,1.2106023,9.621058,0,1.0330892,0.03202939,1163,91.82576886,24.12593717,91.82578,24.12593803,1330.996,832.6553,1520.2618,75.656166,18.445204,0.05404503,2430.7847,174.01033,171.67686,16,0.87512547,1.0933479,0.33514735,1.1291896,-28.465445,0,1.228796,0.18619531,0.075266643
1995,91.82412328,24.22863965,91.82407948,24.2286313,681.9612,820.37256,5313.103,138.69934,17.08663,0.028350191,5875.1143,208.434,513.5224,42,0.48117483,0.36700714,0.08472727,1.6830992,-71.70989,0,1.1843771,0.15567434,1125,91.82409936,24.2286409,91.82407862,24.2286312,681.95386,820.2347,4676.3213,112.06275,17.225239,0.026024763,5774.6367,186.21048,513.5224,30,0.6499818,0.56499124,0.08989388,1.3537872,-66.697,0,1.1075782,0.097129166,0.078628428
1996,91.82363828,24.04883781,91.82365928,24.04887815,1818.3126,822.45996,11357.103,185.67947,16.261831,0.017755225,12211.832,247.14087,574.6245,82,0.23463961,0.29953718,0.14199127,2.3000433,-32.71854,1,1.3512594,0.25994962,1115,91.82364114,24.0488496,91.82365806,24.04887605,1818.238,822.47614,10228.343,159.58186,16.375486,0.016943693,12702.22,266.50906,574.6245,58,0.29814667,0.39331925,0.21006614,2.0832295,-32.81331,0,1.4145159,0.29304433,0.043472312
